Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
54300,1,AP->STA1,54301,968,0.489847
54400,1,AP->STA1,54402,968,0.489855
54500,1,AP->STA1,54499,968,0.489882
54600,1,AP->STA1,54601,968,0.489891
54700,1,AP->STA1,54699,968,0.489899
54800,1,AP->STA1,54801,968,0.489927
54900,1,AP->STA1,54900,968,0.489935
55000,1,AP->STA1,55000,968,0.489961
55100,1,AP->STA1,55100,968,0.48997
55200,1,AP->STA1,55200,968,0.489979
55300,1,AP->STA1,55301,968,0.490005
55400,1,AP->STA1,55399,968,0.490013
55500,1,AP->STA1,55501,968,0.49004
55600,1,AP->STA1,55599,968,0.490048
55700,1,AP->STA1,55701,968,0.490075
55800,1,AP->STA1,55801,968,0.490083
55900,1,AP->STA1,55901,968,0.490091
56000,1,AP->STA1,56001,968,0.490117
56100,1,AP->STA1,56101,968,0.490125
56200,1,AP->STA1,56199,968,0.490151
56300,1,AP->STA1,56300,968,0.490159
56400,1,AP->STA1,56402,968,0.490167
56500,1,AP->STA1,56501,968,0.490193
56600,1,AP->STA1,56600,968,0.4902
56700,1,AP->STA1,56699,968,0.490226
56800,1,AP->STA1,56799,968,0.490234
56900,1,AP->STA1,56900,968,0.490259
57000,1,AP->STA1,57000,968,0.490267
57100,1,AP->STA1,57101,968,0.490275
57200,1,AP->STA1,57199,968,0.490299
57300,1,AP->STA1,57301,968,0.490308
57400,1,AP->STA1,57399,968,0.490332
57500,1,AP->STA1,57502,968,0.49034
57600,1,AP->STA1,57601,968,0.490348
57700,1,AP->STA1,57701,968,0.490372
57800,1,AP->STA1,57801,968,0.49038
57900,1,AP->STA1,57901,968,0.490405
58000,1,AP->STA1,58002,968,0.490412
58100,1,AP->STA1,58100,968,0.490436
58200,1,AP->STA1,58201,968,0.490444
58300,1,AP->STA1,58299,968,0.490451
58400,1,AP->STA1,58401,968,0.490475
58500,1,AP->STA1,58501,968,0.490482
58600,1,AP->STA1,58600,968,0.490506
